ROI_ID,Longitude,Latitude,Dicot_Count,Monocot_Count,Chenopodium_Count,log1p_Dicot_Count,log1p_Monocot_Count,log1p_Chenopodium_Count,logeps_Dicot_Count,logeps_Monocot_Count,logeps_Chenopodium_Count,x_25832,y_25832,fold
1,11.38780639,55.32308333,62,5,6,4.143134726,1.791759469,1.945910149,4.127135998,1.609457912,1.791776136,651499.2234,6133341.519,9
2,11.38781333,55.32310306,18,3,0,2.944438979,1.386294361,0,2.890377313,1.098645621,-9.210340372,651499.5887,6133343.728,4
3,11.38781889,55.32306056,13,1,1,2.63905733,0.693147181,0.693147181,2.56495705,1.00E-04,1.00E-04,651500.1033,6133339.012,5
4,11.38781694,55.32296444,31,2,2,3.465735903,1.098612289,1.098612289,3.43399043,0.693197179,0.693197179,651500.3466,6133328.315,6
5,11.38781972,55.32300778,16,2,1,2.833213344,1.098612289,0.693147181,2.772594972,0.693197179,1.00E-04,651500.3575,6133333.142,8
6,11.38782056,55.32298556,14,2,0,2.708050201,1.098612289,0,2.639064472,0.693197179,-9.210340372,651500.4951,6133330.672,9
7,11.38780889,55.322775,27,1,0,3.33220451,0.693147181,0,3.29584057,1.00E-04,-9.210340372,651500.5583,6133307.222,9
8,11.38782167,55.32292194,44,1,4,3.80666249,0.693147181,1.609437912,3.784191907,1.00E-04,1.386319361,651500.8083,6133323.597,4
9,11.38782056,55.3229,32,2,10,3.496507561,1.098612289,2.397895273,3.465739028,0.693197179,2.302595093,651500.8215,6133321.154,3
10,11.38781889,55.32279139,51,1,1,3.951243719,0.693147181,0.693147181,3.931827594,1.00E-04,1.00E-04,651501.1301,6133309.067,3
11,11.38782111,55.32281222,17,4,2,2.890371758,1.609437912,1.098612289,2.833219226,1.386319361,0.693197179,651501.1916,6133311.389,10
12,11.3878225,55.32283389,32,1,2,3.496507561,0.693147181,1.098612289,3.465739028,1.00E-04,0.693197179,651501.1971,6133313.803,1
13,11.38782611,55.32287667,31,1,1,3.465735903,0.693147181,0.693147181,3.43399043,1.00E-04,1.00E-04,651501.2629,6133318.57,6
14,11.38784139,55.32308333,56,0,1,4.043051268,0,0.693147181,4.025353476,-9.210340372,1.00E-04,651501.4436,6133341.595,7
15,11.38784667,55.32310306,17,1,0,2.890371758,0.693147181,0,2.833219226,1.00E-04,-9.210340372,651501.7032,6133343.8,3
16,11.38784056,55.3229425,29,0,3,3.401197382,0,1.386294361,3.367299278,-9.210340372,1.098645621,651501.9281,6133325.925,7
17,11.38783861,55.32285833,67,2,19,4.219507705,1.098612289,2.995732274,4.204694112,0.693197179,2.944444242,651502.1258,6133316.557,6
